Burgos,1976-77,P,E,G,P,E,P,G,P,E,P,E,P,G,G,P,G,P,P,G,P,G,P,G,G,P,P,G,P,G,G
Espanol,1976-77,G,G,P,G,E,P,G,P,G,E,G,E,G,P,P,P,E,G,E,G,P,G,E,P,E,P,G,P,G,P
Hercules,1976-77,G,P,G,P,G,P,E,E,P,E,E,E,P,G,P,G,P,P,G,E,P,E,G,P,E,G,P,G,P,G
Betis,1976-77,P,P,P,G,E,G,P,G,P,G,E,P,G,G,G,P,P,G,P,G,P,E,E,G,E,G,P,E,G,G
Salamanca,1976-77,P,P,P,G,P,G,P,G,P,E,G,E,P,G,P,E,G,G,G,E,P,G,P,G,G,E,E,G,P,G
Real Madrid,1976-77,G,P,P,G,E,G,G,G,P,E,P,G,P,G,E,P,G,P,P,E,G,E,P,G,E,E,E,G,E,P
Valencia,1976-77,G,E,G,G,E,P,G,P,G,E,G,P,G,E,G,E,P,P,G,P,G,E,P,E,E,G,E,P,P,P
Celta de Vigo,1976-77,P,G,G,P,E,P,G,P,G,E,P,E,E,P,E,P,E,G,P,P,G,E,E,P,G,E,G,P,E,P
Las Palmas,1977-78,E,E,G,E,G,P,G,P,G,P,G,G,P,E,P,G,E,P,E,P,E,G,E,G,E,P,G,P,P,E
Burgos,1977-78,E,P,P,G,P,E,E,P,G,P,G,P,E,P,G,E,E,G,P,G,P,G,E,P,G,E,G,P,G,P
Sevilla,1977-78,G,P,G,P,E,P,G,P,G,P,G,E,G,E,G,E,E,P,E,P,P,G,G,P,E,P,G,P,G,E
Espanol,1977-78,P,G,P,P,G,P,G,P,G,P,E,P,G,P,G,P,G,G,P,P,G,P,G,E,E,E,G,E,P,G
Atletico de Bilbao,1977-78,E,P,E,P,G,E,G,E,G,P,G,P,G,P,G,G,E,E,G,P,G,G,E,P,G,P,G,P,G,E
Betis,1977-78,E,E,E,G,E,E,P,P,P,G,P,G,P,G,P,E,P,E,P,G,G,G,P,P,P,G,P,G,P,E
Atletico de Madrid,1977-78,G,P,E,P,P,G,P,G,P,G,P,G,P,G,P,G,P,E,G,P,G,P,P,G,P,G,G,G,G,P
Valencia,1977-78,P,G,E,G,P,G,P,G,P,G,E,G,P,G,P,E,G,E,G,E,P,P,G,G,E,G,P,G,G,G
Barcelona,1977-78,G,E,E,G,G,G,P,G,P,G,E,P,E,G,G,E,P,G,G,G,P,E,E,G,E,G,P,E,P,G
Real Sociedad,1977-78,P,G,P,G,P,G,E,G,P,P,P,E,G,E,G,P,G,P,P,G,E,E,E,G,E,E,P,G,P,G
Cadiz,1977-78,G,P,G,P,P,P,P,E,E,G,P,E,P,G,P,E,E,P,P,P,P,E,G,G,P,E,P,P,P,P
Rayo Vallecano,1977-78,P,G,E,E,P,G,P,G,P,G,P,G,G,E,G,E,G,G,P,G,E,E,P,E,P,E,E,P,P,P
